feature,importance
fuel,1.739644
acquired_price_2,1.1994382
has_zev_True,0.5387722
type,0.36645246
mpg_1,0.25239623
av_experience_10,0.17663068
adoption_readiness_score,0.1698858
has_ev_True,0.15708096
past_bev,0.14798114
annual_mileage,0.13985525
av_experience_1,0.13356563
zipcode,0.09422691
acquired_year,0.08485182
vehicle_count,0.07658505
battery_miles,0.07235039
autonomous_att_3,0.06757145
autonomous_att_5,0.06581056
adjustedduration_sec,0.06372875
home_electricity_access,0.06162068
av_ridehail_aware,0.056218315
